Title,Source,Published At,Description,URL,Similarity
Found Producing Director Nikhil Paniz On Addressing Systematic Issues In Missing Person Cases,Screen Rant,2023-10-18T14:30:31Z,Nikhil Paniz chats with Screen Rant about Found's unique protagonist and the way the show challenges how the world addresses missing person cases.,https://screenrant.com/found-show-producing-director-nikhil-paniz-interview/,0.53743166
Police are looking for a man last seen in 1953 after 'unusual' missing person report lodged 70 years later,ABC News (AU),2023-10-25T06:06:58Z,"Donald Gordon Buckley was reported missing earlier this year, and would be in mid-90s if still alive, police said.",https://www.abc.net.au/news/2023-10-25/nsw-police-donald-gordon-buckley-historical-missing-person/103020924,0.49274832
Lee Johnston: Police find body in search for missing man,BBC News,2023-10-18T22:20:24Z,Officers investigating the disappearance of Lee Johnston have found a body in the Maghera area of County Londonderry.,https://www.bbc.co.uk/news/uk-northern-ireland-67152559,0.43881315
This Is Why We Need A Unique Missing Person Alert For Black Women And Children,HuffPost,2023-10-20T22:19:33Z,"The ""Ebony Alert"" could help ensure that their cases don't continue to get ignored.",https://www.huffpost.com/entry/ebony-alert-missing-black-women-children_n_6532a288e4b011a9cf796f2e,0.43069968
Body found during search for missing Indiana teacher in Puerto Rico,KTLA Los Angeles,2023-10-15T13:32:39Z,"Amanda Webster, a teacher from Indianapolis, was reported missing last week while on vacation in Puerto Rico.",https://ktla.com/news/nationworld/body-found-during-search-for-missing-indiana-teacher-in-puerto-rico/,0.41306958
The Kingpin Who Kidnapped Migrants for Ransom,The New Yorker,2023-11-06T11:00:00Z,"An Eritrean trafficker promised to help Africans desperate to reach Europe—then brutalized them inside a Libyan compound while extorting their families back home. With his fortune, he partied in Dubai.",https://www.newyorker.com/magazine/2023/11/13/the-kingpin-who-kidnapped-migrants-for-ransom,0.37621912
"LAPD investigators find missing Boyle Heights teen, reunite her with family",Los Angeles Times,2023-10-28T00:09:21Z,The teen who had been missing for nearly two weeks has not shared what happened to her since she disappeared. Police have declined to elaborate.,https://www.latimes.com/california/story/2023-10-27/lapd-investigators-find-missing-boyle-heights-teen-reunite-her-with-family,0.37186342
New DNA Tests Are Identifying Missing Persons and Solving Crimes,Scientific American,2023-10-18T12:00:00Z,Every year about 1000 human remains go unidentified in the U.S. New genetic technology can give them names and return them to their families,https://www.scientificamerican.com/article/new-dna-tests-are-identifying-missing-persons-and-solving-crimes/,0.3586216
Four American-born siblings vanish in northern Mexico over weekend,New York Post,2023-10-31T00:00:04Z,"Four American children have vanished in northern Mexico, authorities in the region announced Sunday. The children — all siblings between 9 and 12 years old — were last seen leaving their home on Saturday, according to the Chihuahua State Attorney General’s of…",https://nypost.com/2023/10/30/news/four-american-born-siblings-vanish-in-northern-mexico-over-weekend/,0.30111712
"Pahang govt contributes RM25,000 to bring job scam victim's body home",The Star Online,2023-10-19T06:34:00Z,"KUANTAN: The Pahang government has donated RM25,000 to help bring home the remains of an alleged human trafficking victim who died in Myanmar. Read full story",https://www.thestar.com.my/news/nation/2023/10/19/pahang-govt-contributes-rm25000-to-bring-job-scam-victim039s-body-home,0.27712882
Is California’s Ebony Alert the answer for finding missing Black children and women?,TheGrio,2023-11-02T11:00:00Z,"OPINION: The current nationwide Amber Alert system is often not enough in many cases and has limitations for activation, so the new Ebony Alert in California is a step in the right direction. 
The post Is California’s Ebony Alert the answer for finding missin…",http://thegrio.com/2023/11/02/is-californias-ebony-alert-the-answer-for-finding-missing-black-children-and-women/,0.27584967
Swiss woman’s murder: Delhi Police plan to carry out psychoanalysis test on accused,The Indian Express,2023-10-23T15:04:09Z,"The accused met the victim, Nina Berger (36), on a dating app in 2021 while he was travelling to Zurich, Switzerland, to meet his relatives.",https://indianexpress.com/article/cities/delhi/swiss-woman-murder-delhi-police-psychoanalysis-test-accused-8996524/,0.27286792
"A child lost a beloved toy, and a town came together to find it",Minneapolis Star Tribune,2023-10-31T20:18:55Z,A 10-year-old made a missing-person poster that led to the discovery of his Lego man.,https://www.startribune.com/a-child-lost-a-beloved-toy-and-a-town-came-together-to-find-it/600315243/,0.27262497
Ebony Alert: California creates alert system for missing Black children,CBS News,2023-10-11T18:45:28Z,"California recently passed a law to create the Ebony Alert, the first statewide alert system focused on finding missing Black children and young people ages 12 to 25.",https://www.cbsnews.com/news/ebony-alert-california-missing-black-children-notification-system/,0.26721904
Probe to recover body still on’: Court rejects bail to man booked for murder of MBBS student in 2021,The Indian Express,2023-10-15T18:21:56Z,"The allegations show that the accused knows how the dead body was disposed of,"" the court said.",https://indianexpress.com/article/cities/mumbai/probe-to-recover-body-still-on-court-rejects-bail-to-man-booked-for-murder-of-mbbs-student-in-2021-8984647/,0.24820276
An Amber Alert outed my cheating boyfriend — I’ll never take him back,New York Post,2023-10-25T22:11:21Z,Talk about a lifesaver.,https://nypost.com/2023/10/25/lifestyle/woman-discovered-cheating-boyfriend-via-an-amber-alert/,0.24323645
Where Did John Gacy Commit His Crimes?,ComingSoon.net,2023-11-07T05:57:46Z,"In the 1970s, John Wayne Gacy, a Midwestern contractor and party clown, committed heinous acts by assaulting and murdering over 30 young men and underage boys. He used a rope to slip around his victims’ necks, and slowly, tightened it with a stick, deceiving …",https://www.comingsoon.net/true-crime/news/1392033-where-did-john-gacy-commit-his-crimes,0.24101695
Girls aged 11 and 4 found after being kidnapped from Georgia Burger King in ‘extreme danger’: police,New York Post,2023-10-16T17:09:16Z,"An Amber Alert was issued after Kylie Horne, 11, and Kylann Harper, 4, went missing from a Burger King in Columbus, Ga. at 11:52 a.m. Sunday.",https://nypost.com/2023/10/16/girls-aged-11-and-4-found-after-being-kidnapped-from-georgia-burger-king/,0.2403869
Scam victim rescue effort gets boost,Bangkok Post,2023-10-27T22:00:00Z,The Foreign Ministry has successfully helped 153 of 219 Thai nationals who fell victim to a human trafficking ring in the northern Shan State of Myanmar.,https://www.bangkokpost.com/thailand/general/2673126/scam-victim-rescue-effort-gets-boost,0.23961793
New California law creates Ebony Alert to find missing Black youth and women,CNN,2023-10-12T00:19:49Z,A new California law will create an emergency alert system to help find missing Black youth and women between the ages of 12 and 25.,https://www.cnn.com/2023/10/11/us/california-ebony-alert-reaj/index.html,0.23878533
NIA nabs key accused in Sri Lankan human trafficking case,The Times of India,2023-10-22T20:35:56Z,India News: CHENNAI: Sleuths of the National Investigation Agency (NIA) arrested the kingpin of a human trafficking racket who was trying to send 61 Sri Lankan na.,https://timesofindia.indiatimes.com/india/nia-nabs-key-accused-in-sri-lankan-human-trafficking-case/articleshow/104633966.cms,0.23614839
California Creates System to Prioritize Finding Missing Black Children Over Others,Legalinsurrection.com,2023-10-12T23:30:25Z,"""Black missing children [who] are disproportionately classified as 'runaways'"" and excluded from the AMBER Alert system will qualify for the Ebony Alert system, according the the new legislation.
The post California Creates System to Prioritize Finding Missin…",https://legalinsurrection.com/2023/10/california-creates-system-to-prioritize-finding-missing-black-children/,0.22708198
"Carlee Russell convicted of faking her own kidnapping, faces one year in prison",New York Post,2023-10-12T02:35:38Z,Carlee Russell nervously wrung her hands behind her back as she entered a not-guilty plea for the crimes despite publicly admitting to the hoax.,https://nypost.com/2023/10/11/carlee-russell-convicted-of-faking-her-own-kidnapping/,0.22324
California creates nation's first 'Ebony Alert' to find missing Black children,NPR,2023-10-11T23:01:45Z,"The alert system will use electronic highway signs and encourage the use of TV, radio, social media and other platforms to spread information about the missing person.",https://www.npr.org/2023/10/11/1205151447/california-ebony-alert-system-missing-black-youth-women,0.21790741
Sabah cops save three from human trafficking ring,The Star Online,2023-11-05T04:34:00Z,KOTA KINABALU: Sabah police rescued two women and a 12-year-old girl from a suspected human trafficking ring following the arrest of three men in separate operations. Read full story,https://www.thestar.com.my/news/nation/2023/11/05/sabah-cops-save-three-from-human-trafficking-ring,0.21588056
Girls Abducted From Burger King Found as Woman Arrested,Newsweek,2023-10-17T08:06:40Z,"Kylann Harper, 4, and Kylie Horne, 11, were found safe about 24 hours after they were abducted, police said.",https://www.newsweek.com/girls-abducted-found-woman-arrested-1835221,0.21177378
"Immigration permission needed for victims of human trafficking, say NGOs",The Irish Times,2023-10-17T23:00:00Z,Traffickers in Ireland use threats of arrest and deportation to continue exploiting people,https://www.irishtimes.com/ireland/2023/10/18/immigration-permission-needed-for-victims-of-human-trafficking-say-ngos/,0.20692113
Missing Black Children Get Their Own Amber Alert Under New California Law,The Daily Caller,2023-10-11T00:42:55Z,"Gov. Gavin Newsom officially enacted the “Ebony Alert” law allowing Highway Patrol to activate an alert specifically for missing black people, NBC reported.",https://dailycaller.com/2023/10/10/missing-black-children-amber-alert-california-law-ebony-gavin-newsom/,0.20650676
Protection from deportation among new measures to combat human trafficking,The Irish Times,2023-11-06T00:01:00Z,Government will also order a review of missing children cases to determine if they are linked to trafficking,https://www.irishtimes.com/crime-law/2023/11/06/protection-from-deportation-among-new-measures-to-combat-human-trafficking/,0.20156601
Carlee Russell Kidnapping Hoax Case: Found Guilty on 2 Misdemeanors,Eonline.com,2023-10-12T12:58:54Z,"Carlee Russell's legal troubles are continuing.
After the Alabama woman was charged with two misdemeanor counts after faking her own kidnapping in July, Hoover Municipal Judge Brad Bishop found...",https://www.eonline.com/news/1387721/carlee-russell-kidnapping-hoax-case-alabama-woman-found-guilty-on-2-misdemeanor-charges,0.19820094
Outrage Over California's New 'Ebony Alert' For Missing Black Children and Women,TMZ,2023-10-10T17:29:48Z,The Golden State is rolling out a new system to report and find missing Black children and women ... it's completely separate from an Amber Alert and it's already causing backlash. Folks in California are outraged over the new statewide alert…,https://www.tmz.com/2023/10/10/californias-new-ebony-alert-missing-black-children-women-causing-outrage/,0.1973874
California’s Race Obsession: New Amber Alert Searches Only for Black Youths—and No One Else,Daily Signal,2023-10-14T00:43:08Z,"The 14th Amendment of the U.S. Constitution provides all Americans with “the equal protection of the laws.” But California’s Gov. Gavin Newsom seems to think... Read More
The post California’s Race Obsession: New Amber Alert Searches Only for Black Youths—and…",https://www.dailysignal.com/2023/10/13/californias-race-obsession-new-amber-alert-searches-only-black-youths-no-one-else/,0.19576123
Increasing number of male human trafficking victims in the U.S. sparks concern,Naturalnews.com,2023-10-12T06:00:00Z,"Experts in the U.S. are worried about the increasing number of young male victims of human trafficking in the country. Human trafficking of boys has grown significantly, and is now almost identical to the percentage of girls being trafficked. The Department o…",https://www.naturalnews.com/2023-10-12-increasing-number-male-trafficking-victims-us-concern.html,0.1953708
‘Weird to put cologne on for beers with the boys’: Woman catches cheating boyfriend—thanks to Amber Alert,The Daily Dot,2023-10-22T18:16:31Z,"A woman revealed how she caught her cheating boyfriend—by silencing an Amber Alert notification on his Apple Watch.


The video featured TikTok user Nicole (@itsnicolechristine), who said the incident happened one evening when her boyfriend said he was out me…",https://www.dailydot.com/news/cheating-boyfriend-caught-amber-alert/,0.19523275
"Ebony Alert bill lauded by Black advocates as ""historic"" step in rescuing missing children",Los Angeles Times,2023-10-11T23:21:40Z,"For the first time in the nation's history, a statewide system will alert motorists of missing Black youths and women, beginning Jan. 1. The ""Ebony Alert"" law enables the California Highway Patrol to authorize alerts made through the changeable message signs …",https://www.latimes.com/california/story/2023-10-11/ebony-alert-bill-lauded-by-black-advocates-as-historic-step-in-rescuing-missing-children,0.1917698
44 held in NIA crackdown on illegal Bangladeshi migrants,The Times of India,2023-11-08T21:18:49Z,"The National Investigation Agency (NIA) conducted raids across 10 Indian states, arresting 44 individuals allegedly involved in human trafficking networks smuggling illegal migrants from Bangladesh, including Rohingyas, into India. The raids targeted 55 locat…",https://timesofindia.indiatimes.com/india/44-held-in-nia-crackdown-on-illegal-bangladeshi-migrants/articleshow/105078211.cms,0.18911481
Carlee Russell Found Guilty Of Faking Her Own Kidnapping In Alabama,Forbes,2023-10-11T21:37:04Z,"In July, Russell fabricated a story about seeing a toddler on the highway and getting kidnapped while trying to help the child.",https://www.forbes.com/sites/mollybohannon/2023/10/11/carlee-russell-found-guilty-of-faking-her-own-kidnapping-in-alabama/,0.18478715
Carlee Russell Found Guilty in Hoax Kidnapping Case,Rolling Stone,2023-10-12T04:48:17Z,"The nursing student faces one year in jail and $18,000 restitution",https://www.rollingstone.com/culture/culture-news/carlee-russell-guilty-hoax-kidnapping-case-1234852396/,0.18455616
What You Need To Know About Modern Slavery And Human Trafficking,Forbes,2023-10-23T09:09:32Z,"In October 2023, the Right Honorable Theresa May MP, former Prime Minister of the United Kingdom, led the launch of the Global Commission on Modern Slavery and Human...",https://www.forbes.com/sites/ewelinaochab/2023/10/23/what-you-need-to-know-about-modern-slavery-and-human-trafficking/,0.18013412
NIA busts human trafficking module in Tamil Nadu; two held,The Times of India,2023-11-08T14:33:52Z,CHENNAI: The National Investigation Agency (NIA) on Wednesday arrested two men in Tamil Nadu and one in Puducherry after carrying out searches in six .,https://timesofindia.indiatimes.com/city/chennai/nia-busts-human-trafficking-module-in-tamil-nadu-two-held/articleshow/105074111.cms,0.17960817
Why so many Hamas hostages are from Thailand,Quartz India,2023-10-26T20:36:00Z,"As Israeli authorities have documented the results of the shocking attacks launched by Hamas earlier this month, it’s become clear many of the hostages taken back to Gaza by the Islamic militant group aren’t Israeli.Read more...",https://qz.com/why-so-many-hamas-hostages-are-from-thailand-1850963541,0.17365478
NIA conducts nationwide raids in human trafficking cases; Myanmar national detained in Jammu,The Times of India,2023-11-08T05:34:42Z,India News: NEW DELHI/JAMMU: The National Investigation Agency (NIA) on Wednesday conducted nationwide raids to arrest those involved in human trafficking and det.,https://timesofindia.indiatimes.com/india/nia-conducts-nationwide-raids-in-human-trafficking-cases-myanmar-national-detained-in-jammu/articleshow/105057247.cms,0.16973618
Woman Catches Cheating Boyfriend Because Of Amber Alert,Pleated-jeans.com,2023-10-24T21:45:43Z,"Heartbreak and betrayal are emotions that cut deep, and there are few wounds as profound as the pain of putting your trust in someone you love, only to have that trust shattered by infidelity. Betrayal in a romantic relationship is a painful and often bewilde…",https://pleated-jeans.com/2023/10/24/woman-catches-cheating-boyfriend-because-of-amber-alert/,0.16908827
Two men arrested in Donegal in relation to human trafficking,The Irish Times,2023-10-24T15:14:07Z,Gardaí arrest men aged 28 and 35 years as part of international organised crime investigation,https://www.irishtimes.com/crime-law/2023/10/24/two-men-arrested-in-donegal-in-relation-to-human-trafficking/,0.168734
"In New England, ‘human trafficking is definitely a problem,’ says head of federal initiative combatting it",The Boston Globe,2023-10-23T10:00:00Z,"Michael Camal graduated from the University of Rhode Island in 2018, is now leading a Homeland Security program that raises awareness about human trafficking in the aviation industry.",https://www.bostonglobe.com/2023/10/23/metro/federal-initiative-combatting-human-trafficking-aviation/,0.1683457
East Africa: East Africa's Youth Scammed By Promises of Overseas Work,AllAfrica - Top Africa News,2023-10-17T10:32:28Z,"Analysis - Educated job seekers fall prey to online scams, driving the trafficking of East Africans to Southeast Asia.",https://allafrica.com/stories/202310170311.html,0.1640842
Big international hotel brands must take seriously their role in stamping out human trafficking,Hospitality Net,2023-10-20T13:26:51Z,"In Dubai, the glittering heart of the United Arab Emirates (UAE), women who have been trafficked from around the world are manipulated and forced into sex work. Many of these women must seek clients in the city’s lavish hotels where staff and management turn …",https://www.hospitalitynet.org/opinion/4118723.html,0.15924937
Bengaluru NIA arrests Tamil Nadu man in human trafficking case,The Indian Express,2023-10-23T04:29:25Z,"According to the NIA, Mohammed Imran Khan was involved in the illegal transport of 38 Sri Lankan nationals from their home country to various locations within Tamil Nadu.",https://indianexpress.com/article/cities/bangalore/bengaluru-nia-arrest-tamil-nadu-man-human-trafficking-8995597/,0.15819053
